DATE,PLXS,BWINB,HGIC,WTS,HTLD,PLAB,OFG,WSBC,CCC,SUR,BRY,CNMD,ACO,IMKTA,CBM,AIN,CHFC,COKE,GNCMA,LNN,VWMKT,RiskFree
6/2/1998,-0.031791908,-0.002785516,6.62E-09,-0.063154119,-0.028409088,-0.049999994,0.029051986,-0.004878049,-0.011363636,0.032258064,-0.030701756,-0.005882352,-0.009259258,-0.014925374,0.025345623,-0.030107527,-0.005952382,-0.008973081,8.94E-10,-0.021390374,-0.003012048,0.000907151
6/9/1998,0.080597016,0.048882683,0.005464481,0.019230769,0.032163744,0.00263158,-0.004457652,0.088235294,0.013020326,-0.03125,0.058823531,0.0147929,-0.056074768,-3.75E-10,-0.004494382,-0.006141912,0.010407037,0.024144869,-0.010416667,-0.028688525,0.02132399,0.000876247
6/16/1998,-0.027624309,-0.017310253,-0.049501031,-0.03504043,-0.008498583,-0.097112862,-0.04477612,-0.046339543,-0.074285714,-0.104838711,-0.057505931,0.084548106,-0.007425742,-0.03030303,-0.046275397,-0.127802692,-0.022354697,0.043222005,1.33E-10,-0.075949367,-0.030316788,0.000876247
6/23/1998,-0.147727274,0.008130081,-0.028735632,-0.022346369,-0.02,0.011627901,-0.0421875,0.00952381,-0.018518517,0.076576577,0.004566209,-0.021505376,-0.042394016,0.135416667,-0.009467456,-0.023136246,0.030487806,0.010357815,0.010526316,-0.05479452,0.0274937,0.000876247
6/30/1998,0.060000001,-1.40E-09,-0.01775148,-0.045714286,-0.055393588,0.014367815,-0.033618447,0.014150944,2.12E-09,-0.012552303,-0.054545455,0.010989011,0.005208332,0.076330276,0.003584229,0.007894737,0.010355028,-0.013979497,0.010416664,0.04830918,0.015832,0.000876247
7/7/1998,0.075471697,8.21E-10,0.108433734,0.10778443,-0.058641975,-0.033994327,0.013559321,0.023255814,0.050314466,-0.046610169,0.043269231,0.043478261,0.005181347,-0.068965518,0.052380954,0.015665796,-0.021961935,-0.018903592,-0.092783506,0.023041474,0.016317015,0.000902352
7/14/1998,-0.005847952,0.010752689,-0.059782607,0.029729729,3.38E-10,-0.178885631,0.033444817,-0.018181819,0.05988024,0.035555556,-0.041474653,0.0078125,0.030927837,-0.018518517,0.031674209,-0.010282776,0.005988024,-0.044315992,-0.090909093,-0.031531531,0.016221731,0.000902352
7/21/1998,-0.052941178,8.30E-10,-0.002890173,-0.049868767,0.022950819,0.057142858,0.050161813,0.018518517,-0.028248588,-0.004291846,-0.004807693,0.002583981,0.010000002,-0.042452829,0.002192983,-0.041558442,0.002976191,-9.60E-10,-2.35E-09,-0.03255814,-0.008769125,0.000902352
7/28/1998,-0.006211183,-0.010638297,0.118840583,-0.09116022,-0.038461537,-0.016891892,-0.016949152,-0.081818182,-0.034883721,-0.03448276,-0.086956522,-0.046391753,-0.019801979,-0.02955665,-0.048140044,-0.067750678,-0.044510386,-0.039314515,-0.025,-0.026442308,-0.037253153,0.000902352
8/4/1998,-0.05,-0.09811828,-0.062176165,-0.033434649,-0.046666665,-0.065292097,-0.037617556,-0.06188119,-0.054216868,-0.044642857,-0.031746031,-0.010810813,0.090909092,-0.035532995,-0.052873565,-0.031976745,-0.074534163,0.011542499,-0.282051287,-0.138271605,-0.051484911,0.000910414
8/11/1998,0.036184208,0.010432196,0.127071824,-0.072327045,-0.027972028,0.066176475,-0.029315961,0.05540897,-0.019108283,0.046728971,-0.071038252,-0.010928963,-0.01851852,-0.026315791,0.006030783,0.003003002,0.050335571,0.141078851,0.366071416,0.008595989,-0.004005631,0.000910414
8/18/1998,0.052380953,0.00169434,0.029411765,0.030508476,0.057553958,0.003448276,0.088926173,0.005000002,-0.006493508,-2.82E-10,0.123529411,0.063535912,0.018867925,0.037837839,-0.009661838,0.026946109,0.012779552,-0.038181817,-0.15686274,0.078379419,0.028581642,0.000910414
8/25/1998,-0.05882353,0.005917158,-0.114285716,0.029605262,-0.074829931,-0.068728519,-0.003081665,-0.062189054,-0.274509797,-0.017857143,0.083769633,-0.062337663,-0.101851853,-0.062499999,0.004878049,-0.052478134,-0.055205048,-0.043537333,-0.10852713,-0.118733514,-0.016582962,0.000910414
9/1/1998,-0.217948717,0.105882353,-0.064516128,-0.123222171,0.033088234,-0.143911452,-0.085007729,0.042440316,-0.081081081,-0.05,0.004830918,-0.096952907,-0.026082474,-0.002777778,-0.114077669,-0.018461538,-0.065108517,0.019841271,-0.113043478,0.017964073,-0.096169142,0.000910414
9/8/1998,0.114754096,0.021276596,0.057471264,0.032967033,0.074733097,0.112068968,-3.26E-10,-0.006361323,0.081176472,1.96E-10,0.033653847,0.049079756,0.031914894,-0.008356545,0.060273971,-0.032805646,0.038837841,0.011673152,-0.058823529,-0.011764705,0.031305952,0.000900049
9/15/1998,0.007352939,-0.078125002,-0.037949234,0.021276595,-0.099337748,-0.062015503,-0.018581082,-0.008040973,0.018348624,0.052631576,-0.039281386,-0.032163743,-0.030927836,0.056179776,-0.007751939,-0.03257329,-0.017301038,-4.46E-10,5.65E-10,-0.145833333,0.009894253,0.000900049
